instrument_id,trade_date,as_of_ts,setup_id,setup_kind,side,filled,outcome,net_ticks,gross_ticks,entry_ts,exit_ts,hold_minutes
PT,2025-07-04,2025-07-04T12:00:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:13860,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-07-15,2025-07-15T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14325,PULLBACK_LIMIT,BUY,True,SL,-69.5,-63.0,2025-07-15T11:00:00+03:00,2025-07-15T11:20:00+03:00,20.0
PT,2025-07-15,2025-07-15T12:00:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14211,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-07-16,2025-07-16T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14307,PULLBACK_LIMIT,BUY,True,TP,128.5,135.0,2025-07-16T11:55:00+03:00,2025-07-16T17:50:00+03:00,355.0
PT,2025-07-16,2025-07-16T12:00:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14307,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PD,2025-07-17,2025-07-17T10:30:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:129068,PULLBACK_LIMIT,BUY,True,TP,1129.5,1136.0,2025-07-17T11:00:00+03:00,2025-07-17T14:40:00+03:00,220.0
PD,2025-07-17,2025-07-17T12:00:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:129068,PULLBACK_LIMIT,BUY,True,TP,1129.5,1136.0,2025-07-17T12:05:00+03:00,2025-07-17T14:40:00+03:00,155.0
PD,2025-07-19,2025-07-19T10:30:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:130613,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PD,2025-07-19,2025-07-19T12:00:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:130613,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PD,2025-07-20,2025-07-20T10:30:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:130613,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PD,2025-07-20,2025-07-20T12:00:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:130613,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-07-21,2025-07-21T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14655,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-07-21,2025-07-21T12:00:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14773,PULLBACK_LIMIT,BUY,True,SL,-75.5,-69.0,2025-07-21T12:05:00+03:00,2025-07-21T13:30:00+03:00,85.0
PD,2025-07-22,2025-07-22T10:30:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:132474,PULLBACK_LIMIT,BUY,True,SL,-688.5,-682.0,2025-07-22T11:50:00+03:00,2025-07-22T12:00:00+03:00,10.0
PT,2025-07-22,2025-07-22T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:14889,PULLBACK_LIMIT,BUY,True,SL,-62.5,-56.0,2025-07-22T11:25:00+03:00,2025-07-22T13:25:00+03:00,120.0
NG,2025-08-04,2025-08-04T12:00:00+03:00,NGU5:PULLBACK_LIMIT:SELL:3218,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
NG,2025-08-12,2025-08-12T12:00:00+03:00,NGU5:PULLBACK_LIMIT:SELL:3082,PULLBACK_LIMIT,SELL,True,TP,38.5,45.0,2025-08-12T12:05:00+03:00,2025-08-12T15:20:00+03:00,195.0
NG,2025-08-22,2025-08-22T10:30:00+03:00,NGU5:PULLBACK_LIMIT:SELL:2912,PULLBACK_LIMIT,SELL,True,TP,24.5,31.0,2025-08-22T10:35:00+03:00,2025-08-22T15:20:00+03:00,285.0
NG,2025-08-22,2025-08-22T12:00:00+03:00,NGU5:PULLBACK_LIMIT:SELL:2912,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
KC,2025-08-26,2025-08-26T10:30:00+03:00,KCX5:BOX_BREAKOUT:BUY:3693,BOX_BREAKOUT,BUY,False,NO_FILL,0.0,0.0,,,
NR,2025-08-26,2025-08-26T12:00:00+03:00,NRV5:PULLBACK_LIMIT:SELL:3198,PULLBACK_LIMIT,SELL,True,TP,25.5,32.0,2025-08-26T13:35:00+03:00,2025-08-26T16:45:00+03:00,190.0
KC,2025-08-29,2025-08-29T10:30:00+03:00,KCX5:BOX_BREAKOUT:BUY:3721,BOX_BREAKOUT,BUY,False,NO_FILL,0.0,0.0,,,
KC,2025-08-30,2025-08-30T10:30:00+03:00,KCX5:PULLBACK_LIMIT:BUY:3719,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
KC,2025-08-30,2025-08-30T12:00:00+03:00,KCX5:PULLBACK_LIMIT:BUY:3719,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
SU,2025-09-05,2025-09-05T10:30:00+03:00,SuV5:BOX_BREAKOUT:SELL:5190,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
MX,2025-09-19,2025-09-19T10:30:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:11642,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
PD,2025-09-26,2025-09-26T12:00:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:126806,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-09-30,2025-09-30T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:16239,PULLBACK_LIMIT,BUY,True,SL,-56.0,-49.0,2025-09-30T11:05:00+03:00,2025-09-30T11:10:00+03:00,5.0
CE,2025-09-30,2025-09-30T12:00:00+03:00,CEZ5:PULLBACK_LIMIT:BUY:10536,PULLBACK_LIMIT,BUY,True,SL,-10.5,-4.0,2025-09-30T12:05:00+03:00,2025-09-30T12:10:00+03:00,5.0
CE,2025-10-04,2025-10-04T10:30:00+03:00,CEZ5:PULLBACK_LIMIT:BUY:10794,PULLBACK_LIMIT,BUY,True,EXIT,-2.5,4.0,2025-10-04T10:35:00+03:00,2025-10-04T18:35:00+03:00,480.0
CE,2025-10-04,2025-10-04T12:00:00+03:00,CEZ5:PULLBACK_LIMIT:BUY:10794,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
CC,2025-10-05,2025-10-05T10:30:00+03:00,CCZ5:BOX_BREAKOUT:SELL:5323,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
CE,2025-10-05,2025-10-05T10:30:00+03:00,CEZ5:PULLBACK_LIMIT:BUY:10794,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
HS,2025-10-07,2025-10-07T12:00:00+03:00,HSZ5:PULLBACK_LIMIT:BUY:27859,PULLBACK_LIMIT,BUY,True,EXIT,21.5,28.0,2025-10-07T12:15:00+03:00,2025-10-07T18:45:00+03:00,390.0
CC,2025-10-08,2025-10-08T10:30:00+03:00,CCZ5:BOX_BREAKOUT:SELL:5334,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
SV,2025-10-09,2025-10-09T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:4838,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-10-09,2025-10-09T12:00:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:16929,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PD,2025-10-11,2025-10-11T10:30:00+03:00,PDZ5:BOX_BREAKOUT:BUY:147915,BOX_BREAKOUT,BUY,False,NO_FILL,0.0,0.0,,,
CC,2025-10-11,2025-10-11T12:00:00+03:00,CCZ5:BOX_BREAKOUT:SELL:4975,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
PD,2025-10-11,2025-10-11T12:00:00+03:00,PDZ5:BOX_BREAKOUT:BUY:147884,BOX_BREAKOUT,BUY,False,NO_FILL,0.0,0.0,,,
MM,2025-10-12,2025-10-12T10:30:00+03:00,MMZ5:BOX_BREAKOUT:SELL:52689,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
MM,2025-10-14,2025-10-14T10:30:00+03:00,MMZ5:PULLBACK_LIMIT:SELL:52853,PULLBACK_LIMIT,SELL,True,EXIT,676.5,684.0,2025-10-14T10:35:00+03:00,2025-10-14T18:45:00+03:00,490.0
MX,2025-10-14,2025-10-14T10:30:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:10581,PULLBACK_LIMIT,SELL,True,TP,121.5,128.0,2025-10-14T10:50:00+03:00,2025-10-14T15:45:00+03:00,295.0
PT,2025-10-14,2025-10-14T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:16701,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
CC,2025-10-14,2025-10-14T12:00:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:4915,PULLBACK_LIMIT,SELL,True,SL,-30.5,-24.0,2025-10-14T12:30:00+03:00,2025-10-14T12:50:00+03:00,20.0
MM,2025-10-14,2025-10-14T12:00:00+03:00,MMZ5:PULLBACK_LIMIT:SELL:52853,PULLBACK_LIMIT,SELL,True,EXIT,676.5,684.0,2025-10-14T12:15:00+03:00,2025-10-14T18:45:00+03:00,390.0
PD,2025-10-14,2025-10-14T12:00:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:153040,PULLBACK_LIMIT,BUY,True,TP,1391.5,1399.0,2025-10-14T12:05:00+03:00,2025-10-14T12:20:00+03:00,15.0
CC,2025-10-15,2025-10-15T10:30:00+03:00,CCZ5:BOX_BREAKOUT:SELL:4889,BOX_BREAKOUT,SELL,True,TP,56.5,63.0,2025-10-15T11:35:00+03:00,2025-10-15T11:45:00+03:00,10.0
PD,2025-10-15,2025-10-15T10:30:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:157003,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
PT,2025-10-15,2025-10-15T10:30:00+03:00,PTZ5:PULLBACK_LIMIT:BUY:16738,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
MM,2025-10-16,2025-10-16T10:30:00+03:00,MMZ5:PULLBACK_LIMIT:SELL:52266,PULLBACK_LIMIT,SELL,True,SL,-102.5,-95.0,2025-10-16T11:05:00+03:00,2025-10-16T12:45:00+03:00,100.0
MX,2025-10-16,2025-10-16T10:30:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:10444,PULLBACK_LIMIT,SELL,True,SL,-24.5,-18.0,2025-10-16T10:50:00+03:00,2025-10-16T11:05:00+03:00,15.0
MM,2025-10-16,2025-10-16T12:00:00+03:00,MMZ5:PULLBACK_LIMIT:SELL:52266,PULLBACK_LIMIT,SELL,True,SL,-290.5,-283.0,2025-10-16T12:25:00+03:00,2025-10-16T14:30:00+03:00,125.0
MX,2025-10-16,2025-10-16T12:00:00+03:00,MXZ5:PULLBACK_LIMIT:SELL:10444,PULLBACK_LIMIT,SELL,True,SL,-62.5,-56.0,2025-10-16T12:25:00+03:00,2025-10-16T14:30:00+03:00,125.0
PD,2025-10-16,2025-10-16T12:00:00+03:00,PDZ5:PULLBACK_LIMIT:BUY:159502,PULLBACK_LIMIT,BUY,True,TP,2689.5,2697.0,2025-10-16T12:25:00+03:00,2025-10-16T15:30:00+03:00,185.0
SV,2025-10-17,2025-10-17T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5269,PULLBACK_LIMIT,BUY,True,SL,-46.5,-40.0,2025-10-17T10:55:00+03:00,2025-10-17T14:55:00+03:00,240.0
SV,2025-10-17,2025-10-17T12:00:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5269,PULLBACK_LIMIT,BUY,True,SL,-52.5,-46.0,2025-10-17T13:35:00+03:00,2025-10-17T14:55:00+03:00,80.0
GD,2025-10-20,2025-10-20T10:30:00+03:00,GDZ5:PULLBACK_LIMIT:BUY:42442,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
GD,2025-10-21,2025-10-21T10:30:00+03:00,GDZ5:PULLBACK_LIMIT:BUY:42983,PULLBACK_LIMIT,BUY,True,SL,-22.5,-15.0,2025-10-21T11:00:00+03:00,2025-10-21T11:05:00+03:00,5.0
CC,2025-10-28,2025-10-28T10:30:00+03:00,CCZ5:BOX_BREAKOUT:SELL:5061,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
CC,2025-10-28,2025-10-28T10:30:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:5148,PULLBACK_LIMIT,SELL,True,SL,-37.5,-31.0,2025-10-28T12:10:00+03:00,2025-10-28T12:20:00+03:00,10.0
CC,2025-10-28,2025-10-28T12:00:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:5148,PULLBACK_LIMIT,SELL,True,SL,-24.5,-18.0,2025-10-28T12:10:00+03:00,2025-10-28T12:15:00+03:00,5.0
N2,2025-10-28,2025-10-28T12:00:00+03:00,N2Z5:PULLBACK_LIMIT:BUY:52273,PULLBACK_LIMIT,BUY,True,EXIT,87.5,94.0,2025-10-28T13:50:00+03:00,2025-10-28T18:45:00+03:00,295.0
CC,2025-10-29,2025-10-29T10:30:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:5018,PULLBACK_LIMIT,SELL,True,TP,57.5,64.0,2025-10-29T12:25:00+03:00,2025-10-29T12:40:00+03:00,15.0
CC,2025-10-29,2025-10-29T12:00:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:5018,PULLBACK_LIMIT,SELL,True,TP,57.5,64.0,2025-10-29T12:25:00+03:00,2025-10-29T12:40:00+03:00,15.0
CC,2025-11-18,2025-11-18T10:30:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:4437,PULLBACK_LIMIT,SELL,True,TP,77.5,84.0,2025-11-18T11:10:00+03:00,2025-11-18T13:15:00+03:00,125.0
CC,2025-11-18,2025-11-18T12:00:00+03:00,CCZ5:PULLBACK_LIMIT:SELL:4437,PULLBACK_LIMIT,SELL,True,TP,77.5,84.0,2025-11-18T12:05:00+03:00,2025-11-18T13:15:00+03:00,70.0
CC,2025-11-25,2025-11-25T10:30:00+03:00,CCZ5:BOX_BREAKOUT:SELL:4054,BOX_BREAKOUT,SELL,True,TP,62.5,69.0,2025-11-25T12:50:00+03:00,2025-11-25T17:45:00+03:00,295.0
FF,2025-11-25,2025-11-25T10:30:00+03:00,FFX5:PULLBACK_LIMIT:SELL:5943,PULLBACK_LIMIT,SELL,True,TP,82.5,89.0,2025-11-25T12:55:00+03:00,2025-11-25T15:40:00+03:00,165.0
FF,2025-11-25,2025-11-25T12:00:00+03:00,FFX5:PULLBACK_LIMIT:SELL:5943,PULLBACK_LIMIT,SELL,True,TP,82.5,89.0,2025-11-25T12:55:00+03:00,2025-11-25T15:40:00+03:00,165.0
FF,2025-11-27,2025-11-27T10:30:00+03:00,FFX5:PULLBACK_LIMIT:SELL:5863,PULLBACK_LIMIT,SELL,True,EXIT,16.5,23.0,2025-11-27T12:15:00+03:00,2025-11-27T18:45:00+03:00,390.0
FF,2025-11-27,2025-11-27T12:00:00+03:00,FFX5:PULLBACK_LIMIT:SELL:5863,PULLBACK_LIMIT,SELL,True,EXIT,16.5,23.0,2025-11-27T12:15:00+03:00,2025-11-27T18:45:00+03:00,390.0
SV,2025-12-02,2025-12-02T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5695,PULLBACK_LIMIT,BUY,True,SL,-26.5,-20.0,2025-12-02T12:30:00+03:00,2025-12-02T13:20:00+03:00,50.0
SV,2025-12-02,2025-12-02T12:00:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5695,PULLBACK_LIMIT,BUY,True,SL,-16.5,-10.0,2025-12-02T12:30:00+03:00,2025-12-02T12:35:00+03:00,5.0
SV,2025-12-03,2025-12-03T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5768,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
SV,2025-12-08,2025-12-08T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5843,PULLBACK_LIMIT,BUY,True,SL,-28.5,-22.0,2025-12-08T10:35:00+03:00,2025-12-08T11:00:00+03:00,25.0
SV,2025-12-08,2025-12-08T12:00:00+03:00,SVZ5:BOX_BREAKOUT:BUY:5859,BOX_BREAKOUT,BUY,False,NO_FILL,0.0,0.0,,,
SV,2025-12-08,2025-12-08T12:00:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:5843,PULLBACK_LIMIT,BUY,True,SL,-39.5,-33.0,2025-12-08T12:05:00+03:00,2025-12-08T16:05:00+03:00,240.0
SV,2025-12-12,2025-12-12T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:6322,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
SV,2025-12-16,2025-12-16T10:30:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:6265,PULLBACK_LIMIT,BUY,True,SL,-29.5,-23.0,2025-12-16T10:35:00+03:00,2025-12-16T14:15:00+03:00,220.0
SV,2025-12-16,2025-12-16T12:00:00+03:00,SVZ5:PULLBACK_LIMIT:BUY:6265,PULLBACK_LIMIT,BUY,True,EXIT,44.5,51.0,2025-12-16T12:05:00+03:00,2025-12-16T18:45:00+03:00,400.0
NG,2025-12-19,2025-12-19T10:30:00+03:00,NGH6:BOX_BREAKOUT:SELL:3299,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
NR,2025-12-19,2025-12-19T10:30:00+03:00,NRH6:BOX_BREAKOUT:SELL:3377,BOX_BREAKOUT,SELL,False,NO_FILL,0.0,0.0,,,
PT,2025-12-19,2025-12-19T10:30:00+03:00,PTH6:PULLBACK_LIMIT:BUY:19677,PULLBACK_LIMIT,BUY,False,NO_FILL,0.0,0.0,,,
NR,2025-12-19,2025-12-19T12:00:00+03:00,NRH6:BOX_BREAKOUT:SELL:3383,BOX_BREAKOUT,SELL,True,TP,70.5,77.0,2025-12-19T13:00:00+03:00,2025-12-19T16:30:00+03:00,210.0
CC,2025-12-20,2025-12-20T10:30:00+03:00,CCH6:PULLBACK_LIMIT:SELL:4951,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
CC,2025-12-20,2025-12-20T12:00:00+03:00,CCH6:PULLBACK_LIMIT:SELL:4951,PULLBACK_LIMIT,SELL,False,NO_FILL,0.0,0.0,,,
NR,2025-12-23,2025-12-23T10:30:00+03:00,NRH6:PULLBACK_LIMIT:SELL:3250,PULLBACK_LIMIT,SELL,True,SL,-59.5,-53.0,2025-12-23T11:00:00+03:00,2025-12-23T15:50:00+03:00,290.0
